Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
1,4,4,0,4,0,0,0,4,1
1,1,4,1,4,0,4,1,4,1
0,1,0,0,0,0,4,0,1,0
0,0,0,1,4,4,4,0,4,1
1,1,1,1,0,0,4,0,1,1
4,4,4,1,4,0,4,0,4,1
0,4,0,0,4,0,0,0,4,1
0,1,0,0,4,0,1,0,0,0
1,4,0,0,4,4,4,0,4,0
0,0,4,0,0,0,0,0,0,0
4,0,1,0,4,0,4,1,0,4
4,4,4,4,4,4,4,4,4,4
1,4,1,0,4,1,4,0,4,1
0,0,0,0,4,4,0,4,4,0
0,0,1,1,4,4,1,0,1,4
0,0,4,0,4,0,0,0,0,4
0,4,0,0,4,1,1,0,4,4
0,4,1,1,4,4,4,0,1,1
0,0,0,0,4,0,4,0,0,1
4,4,1,1,4,4,4,1,1,1
0,0,0,0,4,0,0,0,0,1
0,0,0,0,4,1,4,0,0,0
1,4,0,0,4,0,4,0,4,1
0,0,0,0,4,0,0,0,0,1
0,0,4,0,4,0,1,0,1,1
1,1,4,1,0,0,0,0,1,4
4,4,4,1,4,4,4,4,4,0
0,0,4,0,4,0,4,0,0,4
1,1,4,1,4,1,4,1,4,0
4,4,4,1,4,4,4,0,4,1
0,0,0,0,4,0,4,0,0,4
1,1,4,1,4,0,1,0,1,1
0,4,4,0,4,0,0,0,0,1
1,0,0,0,4,0,0,0,0,4
4,4,1,1,4,0,1,0,1,0
1,4,1,1,4,1,1,1,1,4
0,1,0,0,4,1,1,1,4,1
0,1,0,0,4,0,0,0,1,0
0,0,0,0,4,0,0,0,0,4
1,0,4,0,4,4,4,1,4,1
1,4,4,1,4,0,0,0,0,1
0,0,0,0,4,0,4,0,4,0
1,1,1,1,4,0,0,0,0,4
0,0,4,0,4,1,0,0,0,1
0,4,0,0,4,1,4,1,0,0
0,1,1,0,4,1,1,0,1,4
0,0,0,0,4,0,0,0,0,0
0,4,4,0,4,4,4,0,0,4
0,0,1,0,4,0,1,0,1,0
0,0,0,0,1,0,0,0,0,1
1,0,0,0,4,0,0,0,0,1
0,1,0,0,4,0,0,0,1,0
0,0,0,0,4,0,1,0,0,4
0,1,1,0,4,0,4,0,0,1
1,4,0,0,4,1,4,1,1,0
0,4,0,0,4,0,4,0,0,4
0,4,0,0,4,0,4,0,1,1
0,0,0,0,4,0,1,0,0,1
0,1,4,0,4,4,1,0,4,1
0,1,1,1,4,0,4,0,0,4
0,4,0,0,4,0,0,0,0,1
0,4,0,0,4,0,4,0,0,4
0,0,0,0,4,0,0,0,0,4
0,1,4,1,0,0,4,0,4,1
4,4,4,4,4,0,4,0,4,4
0,4,0,0,4,0,4,0,4,1
